genes,grRateKO
Rv0727c,0.0584003656763104
Rv1485,0
Rv2605c,0.0584003656763104
Rv2899c,0.0584003656763104
Rv2900c,0.0584003656763104
Rv0087,0.0584003656763104
Rv1348,0
Rv1349,0
Rv0084,0.0584003656763104
Rv2786c,0
Rv2211c,0.0584003656763104
Rv1553,0.0584003656763104
Rv1554,0.0584003656763104
Rv1552,0.0584003656763104
Rv1555,0.0584003656763104
Rv0247c,0.0584003656763104
Rv0248c,0.0584003656763104
Rv3319,0.0584003656763104
Rv3318,0.0584003656763104
Rv3317,0.0584003656763104
Rv3316,0.0584003656763104
Rv3106,0.0584003656763104
Rv0886,0.0584003656763104
Rv2455c,0.0584003656763104
Rv2454c,0.0584003656763104
Rv2957,0.0584003656763104
Rv0992c,0.0584003656763104
Rv2964,0.0584003656763104
Rv1098c,0.0580356589791344
Rv2443,2.36231346462131e-12
Rv2610c,0
Rv1500,0
Rv2188c,0
Rv1159,0
Rv1018c,0
Rv0334,0
Rv0524,0
Rv1551,0.0584003656763104
Rv2982c,0.0584003656763104
Rv2249c,0.0584003656763104
Rv0564c,0.0584003656763104
Rv3302c,0.0584003656763104
Rv2427c,0.0584003656763101
Rv1447c,0.0584003656763104
Rv1121,0.0584003656763104
Rv3808c,0
Rv0620,0.0584003656763104
Rv0619,0.0584003656763104
Rv0618,0.0584003656763104
Rv0993,1.17115044781566e-30
Rv3331,0.0584003656763104
Rv1436,0.0528064605269675
Rv0956,0
Rv1832,0.0584003656763104
Rv3303c,0.0584003656763104
Rv3436c,-1.40079774695921e-30
Rv1512,0.0584003656763104
Rv0070c,0.0584003656763104
Rv1093,0.0584003656763104
Rv1328,0.0584003656763104
Rv1326c,0
Rv1237,0.0584003656763104
Rv1236,0.0584003656763104
Rv1238,0.0584003656763104
Rv1213,0.0584003656763097
Rv2860c,0.0584003656763104
Rv1878,0.0584003656763104
Rv2220,0.0584003656763104
Rv2222c,0.0584003656763104
Rv2439c,0.0584003656763101
Rv3704c,0.0584003656763104
Rv3432c,0.0584003656763104
Rv2476c,0.0584003656763099
Rv1602,0
Rv0808,0
Rv1338,0
Rv3858c,0.0584003656763104
Rv3859c,0.0584003656763104
Rv2833c,0.0584003656763104
Rv2832c,0.0584003656763104
Rv2834c,0.0584003656763104
Rv2835c,0.0584003656763104
Rv2205c,0.0584003656763104
Rv1826,0.0581450308626412
Rv1257c,0.0583990853486736
Rv3696c,0.0508452683749259
Rv0112,0.0584003656763104
Rv1511,0.0584003656763104
Rv3396c,-1.2684772682682e-16
Rv2051c,0
Rv1122,0.0584003656763104
Rv1844c,0.0584003656763104
Rv2277c,0.0584003656763104
Rv0317c,0.0584003656763104
Rv3842c,0.0584003656763104
Rv1086,0
Rv2855,0.0584003656763104
Rv1283c,0.0584003656763104
Rv1281c,0.0584003656763104
Rv1280c,0.0584003656763104
Rv1282c,0.0584003656763104
Rv0773c,0.0584003656763104
Rv2394,0.0584003656763104
Rv3609c,-3.91265696200345e-27
Rv1940,-6.87585842377119e-26
Rv1415,0.0584003656763104
Rv2583c,0.0584003656763104
Rv0386,0.0584003656763104
Rv3588c,0.0584003656763104
Rv3273,0.0584003656763104
Rv1284,0.0584003656763104
Rv0511,0
Rv2458,0.0584003656763104
Rv0650,0.0584003656763104
Rv1599,0
Rv0510,0
Rv0422c,0
Rv3534c,0.0581695235784433
Rv3469c,0.0584003656763104
Rv3606c,-3.91265696200345e-27
Rv1294,-3.86126104217499e-28
Rv3341,0.0584003656763104
Rv1296,0
